text,sentiment
the material is nice however this is far too small i ordered the xl in the ivory which i didnt have too high hopes for when i opened the package i was delightfully surprised to find the construction of the dress to be good the stitching seamed strong and the material was soft and silkybr br i wish this dress fit because it just looked and felt so beautiful here are my measurements b4634 w3834 h4834 and again i ordered the xl it was tight across the chest there are certain things that i can try on and say 34yeah if i lost some weight this would fit34 but sadly this is not one of those things i am trying to lose weight but even at a more healthy size i dont get a sense that this will fitbr br finally even if it fit on the chest this dress was really short im 6034 and this hit just below my buttocks id need to wear bloomers with this to not be insulting tall people bewarebr br if only i could get the pattern for this dress then i could sew one that would fit oh wellbr br overall i would recommend this dress for shorter folks who are small in the breast theyll look gorgeous and i think this dress will last in a brief glance the material and construction looked solid,1
big toe went through sock after only a couple of wears,0
it tells time just fine a cheap basic watch the light for it is garbage though can hardly read the minute digits at night with it,1
i am 54 wear a size 6 and have hips and a chest and this fits perfectly its a really wellmade costume with lots of pieces to make a complete look the arm things dont look quite like the picture but theyre still cute i cant wait to wear this for halloween very cute,2
got these shoes 2 days ago very cute but the right shoe lights already ran out i dont see nor were there directions on any way to recharge or change the batteries also the right shoes bow has completely come unravelled causing me to have to remove them i would not purchase these again,0
love the look of these laces my only complaint is the outer layer bunches up when try to remove to clean my boots if you never remove the laces they will be great i probably wont buy again,1
the case is 68 in long not the claimed 72 in glasses wont fit,0
good quality and nice dress this dress is very short i dont mind because its the look i was going for i am 59 i am returning because i found the same dress same size with more stretch from another seller otherwise i would have made it work,2
i didnt read the title clearly so thats my fault i didnt know it was clear other than that its a good bag pretty small but some people like that from far away it looks like prada because of the triangle i give it a 610,1
the product seems durable and comfortable but it fits smaller than desired,2
beautiful pattern but fits much smaller and tighter then expected,1
i love this little thing but the quality leave a little something to be desired fabric came apart at the seam would give 5 stars but it wears quickly with wear,1
uncomfortable on ankles for lack of support and makes my feet sweat too much,1
beautiful looking and love the color returned because the zipper opening was so small that you could barely put your hand inside the purse,1
i bought this to replace one that i thought was just like it this one is just okthe front pockets on my old baggalini bag were deep enough to comfortably hold my water bottlethe pockets in this one are not quite deep enough and the bottle easily falls out in the car etc also in my old bag the middle pocket in the front had a little 34sleeve pocket34 that was perfect for carrying business card this bag doesnt have that lastly the big pocket in the back is great but my old bag was made with to zippers so that i could slip it over the handle of my luggage when i travel there are fewer interior pockets as well i kept it i love how durable baggalini bags are and they are generally pretty smart looking,1
definitely love my socks,2
nice bag only thing i do not like is it is on the heavy side also the piping on strap started falling off,1
nothing exceptional,1
the costume was very good and held up well however im glad that i ordered a larger one than my normal size or it might not have fit i wear a 12 or 14 and this 1624 fit me comfortably a larger person would have looked bad in it,1
excellent price and seems to be of good quality the tie closure is a little short but it works,2
way too small,0
this dress certainly has that 100 polyester feel i have a size 12 and it measures 375 from the top of the shoulder to the bottom there is a 23 zipper in the back the dress is lined in the front top crossover section only the size 12 is almost straight down there is not much tapering in the waist if the waist is too large then a belt could be used such as a long scarf the top fits more for a fullfigured lady this dress is made in china so at sixtynine bucks for polyester its kind of pricey,1
no flexibilitybr these socks have no give they are the right size but they dont stretch well the elastic fibers break if you stretch them i know they are compression but compression socks still stretch also i dont have giant calves i have average or small calves socks being so tight they break has never been an issue bottom line not great quality,0
daughter enjoyed her nice warm socks for christmas,2
love these shoes great fit very stylist,2
nice vest but color was not as shown cor description says orange however in actuality it was more like brown orange i returned it,1
perfect size,2
terrible fitting the top rolls down,0
i really wanted to like this bohemian inspired dress but it was way too tight across the chest i wear a 40dd i even ordered up to make sure that it would fit unfortunately it didnt however if you can get the right size it is pretty cute the fabric is black cream with orange designs there are buttons down the upper portion of the front which were pulling open on me and it stops midcalf super cute concept but super tight on me i will be returning this,0
the bras are a bit small but it was my on faultbr i thought i was ready a smaller size,2
the straps keep ripping i purchased 3 of these and each time the straps rip off,0
to small,1
theyre very colorful thin and will not aid in keeping you safehealthy when i had it on i was able to blow out a match so if youre ordering for corvid 9 prevention this will not work,0
nice for my nose piercing but when i say small im not joking dont let the 2m fool you its tiny more metal than stone,1
excellent,2
love the idea but my crossfit thighs are too big would love for them to make a larger version,1
i read all the reviews and ordered a size up they fit perfect too cute the only problem is they do something funky just below the ankle ordered them for our co trip walking in snow up to the ankles and my feet stayed warm and didnt get wet they were just perfect,1
too tight material does not stretch itchy because the sequence im giving it away,0
the toe box 1 too wide 2 too high it hurts my toes for past 10 years ive only worn merrell all have been siren sport ii 2 these new shoes are siren sport iii 3 let me know when manufacturer makes either the ss ii again or makes a different ss perhaps a iv 4,1
my back and legs fell so much betterno more back pan,2
these earrings are a great size and well made however the bonded gold finish looks fake i dont feel comfortable wearing them and should have returned them,0
muy grande,1
i did aqll the measurementsstill way too smallmy son liked them however so i gave them to him,1
absolutely love these,2
i like the material and the quality but the dye bleeds onto lighter colors,0
other than my sons wide feet that require a little extra room these are great shoes he said they felt a little narrow around front end of his foot these had a really nice finish on them great quality for a great price,2
i didnt return this but gave it to a friend it fit way to tight im a medium size and that is usually what i order i loved the color,0
lens popped out before my friend even had a chance to put them on we were able to snap it back in place but i wouldnt buy these again,0
i ordered the army green in a small and medium for size comparison i received 2 totally different dresses this is the 2nd time this has happened on amazon last time customer support said a different vendor will be used for a different size well im not ordering from a different vendor im sending both dresses back the size small is army green but the material is awful it states 95 polyester but if feels like stiff cotton the size medium is a gross brown color but the material is great it feels soft and silky good luck with whatever dress you ladies get so disappointed,1
too big,1
love these socks a little pricey otherwise no problem,2
very comfortable shoe i love clarks quality,2
the fit was close but not made all that well i sent them back,2
these look a lot more faded than i expected so thats fine if thats what youre going for they are very well made,1
im a 32bc and the top doesnt fit as hoped doubt ill wear it at all but if i do ill have to wear a sports bra underneath,1
card album is the size of a card holds about two packs of cards the album cover is pretty thin out of my two packs i did get an alternative art card so that was cool one pack was a total dud,1
these are really great shoes top quality materials and workmanship great looking the silver bling is awesome and they are super comfortable the stocking is snug but not tightgreat arch support love these shoes,2
it does not look like the picture material cheap,0
the sides of the shoes come up way too far they dug into the bones on the sides of my ankles so it was impossible to wear these shoes,0
it is soo cheap you can feel it way too light looks are mediocre but not terrible,0
too narrownot very comfortable,0
too small pockets,1
fit well but the quality wasnt there very cheap feeling material,0
worst doesnt function so sliperry doesnt stick well waste of money do not buy this,0
knock around use,2
not what i expected but ok,1
i brought these earings for my 17 year old son thinking they were the size as advertised lol but they are soooo little they have to be for a infant so i gave them to my niece,0
bought the blue camo pants on november 24 2020br br theyve been washed once stupidly the cord wasnt knotted so one end disappeared got a safety pin and began threading it through the tube that is when i noticed how cray the fabric isbr br i didnt expect a lot for this price but really i think i could have gotten better quality at wallymart there were bald spots and actual small holes not near seems but just here and therebr br i would have bought a half a dozen more of these for the family if they had been at all nice but the quality is seriously lacking they are comfy by the way but if they wont last a year thats not a good or fail deal,0
absolutely worth it been wearing them for awhile now and i change them whenever i please to match an outfit no irritation stays nice and snug perfect size very good quality worth it,2
so darn cute this costume was a big hit,2
parece de baby doll la tela y corre pequeño,0
the package arrived damaged and when i took the glasses out the nose pieces are missingi cant even wear them,2
fit a little small which i expected from other reviews order a half size up like i did and theyll fit decent quality for the price you definitely need to wear them a bit to break them in,2
super girly and flirty dress runs a bit small recommend to go up a size,1
poorly made super thin the seems were torn in multiple places upon arrival super cute print on the pants but super poor quality,0
was disapointed that the material was polyester but at least it will not wrinkle,2
beautiful,2
they fit true to size and look great with shorts skinny jeans and casual skirtsskorts highly recommend the wedge is subtle and makes legs look longer good quality and comfortable,2
description is 100 wrong it does not come with box i even emailed them they are aware it says with box but all they said was sorry but box is not included,0
this was a birthday gift for the son of a good friend he loves it br nice starter watch for an 13 year old boy,2
love the fit,2
i loved it my order came on time ordered from husbands account and packaged well great fit i am 55 and about 155lbs and still had a little room very comfortable and was a hit loved this purchase great stretchy material,2
love the style,2
nothing worse than baggy leg holes theres not neqrly enough elastic also not as soft as i expect with cotton love the colors,1
these ran a little smaller than other items i ordered of the same size they fit great through the thighs and hips but it feels like they are really lowcut in the back and i feel like my crack hangs out they are very warm as a base layer and although they look a bit seethrough i have successfully worn them as leggings with a shirt long enough to cover my crack just in case,1
the material is very thin and as stated very skinny arm cut its also a little shorter than expected the material has some stretch and i can make it work for what i need i bought it as a costume piece and had intended to be able to wear it for casual every day after however that is unlikely i guess for the price you get what you pay for with this jacket,1
my husband lives in this boxers,2
they are a good deal thin but no holes coming through yet recommend these,2
i returned it the pendant fell off the chain and i had a hard time getting it back on very cheap quality chain the pendant itself was nice,0
the item is huge at bottom and small at top fits like its defective i have just been stuck with it never have been worn before,0
this is more polyester looking and therefore i was disappointed i thought it would be more of a cotton look or flowy but nopelooked like my mom would wear itkinda like a chicos knockoff i got the animal print and returned ittried two sizes and both looked bad,1
these are adorable i love the little foot shaped gripper on the bottom makes it easy for my toddler to put them on the right foot we use these for her classroom slippers they are perfect,2
fit my 56 year olds feet well but they already seem like my kid will wear them out before he outgrows them used to buying name brand products ie nike or adidas and was hoping for a cheaper alternative the name brands for whatever reason seem to last longer with running out rock climbing than these shoes they are fine for an extra pair of shoes but may not hold up very well if used as a primary pair for an active kid,1
nice enough but had to return as mine did not come with the sash as pictured,1
the top was a little small and the pants were much smaller than other xxl scrubs i have worn,1
smaller than the picture makes it look,0
im a size 9 and these fit true to size but the top part of the boot just isnt cut wide enough to warrant keeping them i do not have large legs by any means but these squeezed my calves and the buckle on the side is purely cosmetic so it wasnt any helpbr br side note the pink color is gorgeous in person very bright and exactly what i hoped for,0
too small,0
these shorts were a great buy im absolutely obsessed they are so soft and so comfortable,2
see thru super short too tight,0
lateral way too thin will be returning,0
when i perchesed the watch i had no idea it was gunna be a toy i didnt want a toy i wanted the real die cast replecia i saw on thinkgeekcom i got this one off amazon because it had a better price and it looked like the one on thinkgeekcom if i knew it was gunna be a toy i would have spent the extra 20 on the real thing looking at it from the front it looks good but its too bulky and childish in my opinion the chain is the only good part of the watch the sound effects are too annoying i had to take one of the batteries out i will defiantly be buying the replecia off thinkgeekcom and throwing this one in my closet i was happy with the sonic screwdriver i got but this was just a waste of money its sad too because david tennant is one of my favorite doctors next to matt smith,0
tight and uncomfortable really cute though,0
a swimsuit top will hold your breast better than this this piece is made from a not so stretchy elastic band and lace thats it the product seems poorly constructed but you get what you pay for i am only giving it to stars because it looks cute around the house,0
these were disappointing the product details claim they are for boots however they are too small width for my cowboy boots mens size 11 flimsy material i will use them to keep the dust off in the closet but i certainly wouldnt use them for travel,1
bought as a gift for my sister and she loved it said she gets lots of compliments from her tennis friends,2
the fabric is thinlightweight its summer so i am fine with that the dress patterndesign is pretty but it runs small in order for the dress to have fit me i would have needed to order a size larger,1
mask was new with tag still on but it was packaged in a box too small the packaging caused mask to bend and would not go back into shape we did not return the mask was unwearable so we used it for a halloween prop,1
weird material and weird pattern on material very unflattering,0
the womens large was a child size glove,1
this shirt is very thin and the length was way to shortnot at all like other polo t shirts i have so i returned it,0
love these socksalmost too warm i wear a size 7 shoe and these were snug before washinghope they dont shrink ad says up to size 9 but i cant imagine even getting a true size 8 in them other than size these are toasty warm well made soft and exactly as expected,2
meh theyre alright gave most of them away thought it would be fun to try,1
these are so cute and awesome my grandson works for cabinet maker will be perfect for work,2
i liked this purse but it wasnt as cute in person basically looked like black jeans turned into a purse that being said it is still a cute casual bag just didnt work for me because there was no good spot for my phone,1
this entire line of cufflinks are classy elegant and wellmade,2
these are perfect in the size s56 for my 3534 32 lb 20 month old they shrank a bit when i washed and dried them the first time anything below a 4t is tight on her waist but of course the legs are always too long and have to be cuffed so i thought 34capris would be perfect34 and they are i have two in each color black and grey nice thick soft stretchy cotton they have the same issue all little girl leggings have though a cut that doesnt take diapers into account which is fine if the pants youre buying are intended for bigger pottytrained girls but we all know that the leggings sold in infant sizes are exactly the same low inseam which means unless your kid is in a onesie which she wont be because they dont really sell onesies above size 2t youll always see the top of her diaper poking out whenever her shirt rides up and as soon as she pees in her diaper once or twice youll be able to plainly see a bulky bulge going down one pant leg especially if shes been sitting in the car seat or stroller maybe i should seek out some 34harem34 pants for her or just put her in dresses more often lord knows she has enough of them but im always worried about her getting them dirty anyway great pants,2
i fell in love with mission gear mid last year or so ive bought a lot of different types of gear shirts shorts pants spandex etc i found the capris and for the most part have found them to be just meh they are a bit loose fitting compared to what i was expecting and thats probably part of the problem ive run in them and done workouts at the house and feel like they just arent tight enough in my normal size to go all out i feel like i pull them up all the time and pull at the legs to make them fit i keep wearing them to see if it gets better but so far ive avoided long runs or outside the house workouts where i cant change if need be,1
great for every day the little liner part is sewn in on the front and back so i know they will last great product and price to replace some old undies,2
broke the second day,0
i expected this to be a lightweight dress it is not the same dress as the picture its very heavy and nasty material nothing like i expected,0
bought for my mom for her birthday and the clasp was broken,0
make sure you by at least one band size and one cup size larger than you normally take these bras run extremely small,0
see thru so disappointing do not buy,0
poor quality thin fabric bad stitching third day of use and the seams are completely broken,0
so i have a hard time finding bras in general because most stores dont carry a 32b rather frustrating so when i ordered this i was a little nervous about how it would fit i love it it fits very well and when i exercise its very supportive i have been using it for about 6 months so it has been tested it has held up well going through the washer i dont put it in the dryer but it has been accidentally put in by my family a few times and it hasnt shown any signs of coming apart i would definitely recommend this to everyone and i have i dont write reviews that often but this deserve one,2
the hat came in neatly folded the hat itself is very flexible and can be adjusted the material on the inside is breathable which is suitable for warm weather the material on the outside is sturdy and solid it seem easy to wash in a washing machinebr its light weigh and easy to storebr br the ribbon is very cute which is suppose to face the back the hat fits securely and will not fall off from a gust of windbr wears great with dress and swimsuitbr br received a free sample to review i hope this helps,2
im so disappointed in this dress ive been wanting one of these and was so excited to get it but its tiny and extremely thin and see through im not sure what i thought i was going to get it fits my arms but thats it not for curvier women i ordered an xl to be safe and was still small,0
i love the dress however the dress sold to me was clearly worn and returned it had really really bad bo given the date of the occasion i needed this dress and wasnt able to send back and reorder to get a new one on time i took a gamble and washed the dress as far as the fit i normally wear size m but def needed a large for a medium like fit order up ladies 3 stars for stinky dress 5 starts for the style and fit,1
definitely was not emerald,0
i used to love ray bans then they got expensive and cheap this pair is such an example the frame quality feels light and flimsy and the glass lenses have no substance to them honestly could not tell if they were glass or plastic but just had to take the manufacturers word for it oddly the more expensive ray ban polarized glasses in to 200300 range feel much heftier and the glass looks and feels thicker but seriously for over 100 bucks i expect better,1
so flattering on and comfy,2
i have a galaxy watch mens version that shows the length of the band is 22 when i seen this product i thought this is ideal and as a bonus i can switch out the bands unfortunately even though it says its for band width 22 its too short i am still using the band with the original pins but the pins are slightly bent so eventually theyre gonna go so if it wasnt for the fact that the pins are too short this would be an ideal product however it does not work for me so most likely i will have to send it back,1
cute,2
snagged and scratched right away,0
these seemed cheaply made and were way too tight,0
pretty much impossible to wear as a tragus earring the ball screws in the back rather than the front so you cant screw it in,0
very cute looks like the picture,2
the design is beautiful unfortunately it completely change colors only after being worn twice,0
the realbr purchased small im 54 135lbs good fitnot to tightbr pros comfortable shipped on time fit as expected good length similar to photobr cons shipped poorly see photo attached lines are not equally aligned see photos material slightly shiny and not the quality nor material expectedbr unable to decide at this time if i should return or wear as sleep wear nevertheless my recommendation would be to purchase a sold colorbr please hit helpful if my review helped you in anyway thank you so much,1
i ordered the size i normally wear with all jackets and tops fit was great wore it in alaska in the fall was rain resistant not waterproof but worked great with the light rains packed easily in my backpack lightweight but warm,2
this twopack is a great deal the shirts are wellmade in cotton blend and are a great fit as they are a bit longer than similar shirts,2
i shouldve known that the price was too good to be true it looks good wears well on the belt but it is made of cheap material and feels so i gave it a three instead of one because it does the job,1
i received this top on sunday and i couldnt wait to wear it i got a couple of compliments on it and people were surprised that it was ordered off amazonbr br i wish i had purchased the other colors sometime in the near future i will be ordering the brown one as well,2
could be worse to be fair its soft but the beanie was supposed to be solid brown however it appears two different shades were used which looks odd,0
i like this because of the blue on it and the n as it is my initial but it was very thin and small after just a few weeks the clasp started popping open,0
the size was perfect color was the light blue we wantedbr it was just what my daughter wanted and i neededbr arrived in a great timely mannerbr material is thicker than i imagined too which was great for covering her body toobr she felt very comfortable wearing it all day and even in front of the boys,2
i was disappointed in the quality of the watch band the leather guard that holds the band against the wrist broke the first time,1
defective attachment,0
these are actually super flimsy not really happy with the purchase at all i ordered an extra large because i normally wear a large and they are small on me so you may want to triple your size,1
pretty flattering fit material is a little thin but i layer it under a cardigan and its fine,2
this would be great for small chest girls its super cute and seems like good quality for the price the downside is im a 36 ddd and theres really no support for the girls at all definitely size up if you have a larger chest,1
they are made from very thin cloth no padding at all i got the small ones yet they still slide down during the course of the day,0
cute comfy but didnt wear them long ran small not the equivalent of muk like which i prefer decent for the price,1
awful cheap material its not sweatshirt material its cut you short if you know what i mean,0
one shoe fits one doesnt have worn vibrant shoes for years bought a size larger than my size re comments that they run small big hassle to return love vibrams but this type not right ugh,0
i love this tank top i cant stop wearing it its the perfect amount of cleavage without being too obvious,2
for the price you cant beat it i got this because i wanted a cheap replacement for my more expensive watch while i was trying to find a battery for it the battery for my nike watch ended up costing about half of the price of what this watch costs totalbr my peers says this makes me look really old but i think its rad it does what i need it too and thats all that mattersbr br updatebr during my second year of use while commuting on bike my watch fell off i found the case frameband interface cracked and propagated enough so that a portion of the watch case broke from the rest of the framebr br my fathers same watch has done the same unfortunately our watches broke at the frame and not the band therefore were now looking for something more robust like a gshock we take good care of our stuff even if its cheap so this is a big downer br br all in all its still a cool watch but not worth my money even at this price,1
support in all the wrong areas and the sizing is way off,0
very beautiful gold plated rings i was very happy with my purchase,2
thinly an cheaply made its a hard no for me,0
this jacket will keep you as warm as a tshirt would it almost zaps warmth idk how it does it but it does i bought as a fall jacket knowing it couldnt survive winter but dang it doesnt keep you warm at allbr br it fits tight i wear a small but got a medium to layer underneath with yet it is still tight with only one sweater underneath is oddly short too i got the longer version with the underlayer provided and it still comes to right at the top of my hips had wanted it longer br br overall its waaay overpriced it is made of crud materials and somehow sucks warmth out of you so it is not even wearable as a jacket in literally any weather though maybe itll keep you cool in summeri have yet to try this but heybr br please heed me and skip this as it is only coollooking off uncomfortable on and youll end up staring at it in mixed longing and fury as it hangs in your closet,0
this item was extremely disappointing did not look like picture at all disappointed and returned,1
i like the mask but it said pack of three when i itcherpurchased it and it was only one in the pack but other than that nice mask,1
would it kill companies that make scrub clothing to make them stretch in the groin its tighter than jeans,1
i have no idea what arch support they are talking about it has a soft moldable footbed and is quite comfortable for short walksbr they fit a good half size large now the plus of that is that if you have a larger volume foot these will be great for you,1
these earrings are really small i got the 5mm and it was still small,1
i got 2 one i kept the zipper broke first day but the one i had given to a friend and she loves it and used it all the time,1
bought these for a trip to canada got caught in the blizzard of 2022 worst in history feet were warm good for walking on snow or icebr glad to be home though oh canada,2
the pattern in the photo is absolutely stunning which made me take chances buying it despite the other reviews however the reviews are right the cut is weird and the middle section is very loose not fitted at all like the photo it creates a very boxy look id have to get it tailored and for the price its not worth it this was returned,0
the pair i received has one of the frog eyes sewn on backwards so its missing an eye fits smaller than expected i recommend getting a size up,1
i dont like this shirt at all it was scratchy and tight around the arms it is long though if you wanted to wear with leggings also it is just a light shirt not anything like a jacket,0
i adore this sweater i have gotten so many compliments on it because it is to beautiful and cute since it has snowmen i will wear it all winterbr the fabric is soft and just the right weight not heavy or bulky fit seems true to size to me its not meant to be fittedbr great quality and look for a minimal price tag very happy and ordered another one with a different design cant wait to get it,2
i bought this for my active stepdaughter she only had it on 1 day and it broke the next day i was so disappointed and felt so bad her crystal pendent fell off and chipped because the chain was so weak so awful do not recommend,0
in addition to being too narrow for a 13d these shoes have several uncomfortable spots that press into my feet the next evaluation will be how easy it is to return these to the seller and be credited which i assume will be no problembr br br update the seller accepted these back and credited my card immediately so no complaints just the wrong shoe for me ymmv,0
warm gloves but they run a little big,1
it is definitely a statement piece,2
its not really white sort of a cream color probably will be too warm in the summer to wear since is faux leather nice lenth,0
great shoe super comfy wore these on a trip to the iberian peninsula i was on my feet basically the whole time and my feet hardly got sore theyre also great for amusement parks only complaint is if they get wet they stay wet for a while and the cloth can get dirty there isnt arch support or anything but it isnt really a problem for me,2
they lasted my son one month and the crotch ripped out they were only worn about 4 times,0
i really loved the bracelet when it arrived but i wore it to work a few times and the blue beads color wore off disappointed to say the least but i really loved it,1
the shape is awkward and the cups are not adhesive enough they constantly fell off and i found myself awkwardly readjusting the bra under my shirt i purchased three and am throwing all of them out very poor product design,0
what a ripoff it does not even come with the wall plug there is a base a moderate quality cord and a piece of paper telling you to spend more money to use the thing,0
these shoes are great so soft and comfy when standing for hours,2
the dress was a good material and length was great i returned it because the fit was too small,1
this shirt is beautiful and soft and the colors are amazing but definitely size up a couple sixes ordered an extra large and it fits my 8 year old,0
come with holes,0
this bag is average for the price it has a smell to the material and it attracts lint easily as far as the structure of the bag id only expect to get a year or so out of it using it daily on the plus side its light weight it doesnt have an external mesh pocket for a water bottle i dont think it would protect a laptop or tablet very well as theres not much padding,1
52 176 lbs largebr br i like the dress but not a must have for the price pros comfortable and with a wedge shoe the length will work color is nice cons can find better quality for the price at other discount stores i would pay 10 if i saw it in a store but not 23 wrinkles easily after ironing with starch,1
i ordered 6xfits like 4xzipper is on wrong sidenice materialcheap so i kept it,0
though the price is low it is very poor quality the piece i received only has space for 4 photos unlike whats stated and pictured the hinges are very flimsy and the gold coating is cheap looking,0
these are the only shoes my great grandmother will wear she wears them out and always asks for the exact same pair for a replacement,2
really liked the pattern length but ripped after about 3 weeks of use really wanted to love these for my twists,1
i just didnt like them way too big,0
really them then i was just hoping they werent so thin my kiddo will rip this in a day or two,1
this is a nice scarf it is much shorter than the photo though,1
definitely better on the model than in person the pattern on the sleeves is really strange and it just looks like two broken sweaters stitched into one not crazy about it and had to return,0
super thin,1
as always you can be as big as a house or as tiny as a mouse but if you are talljust forget it youre not gonna get a size to suit long legs,0
its a beautiful soft orange i love it anf it looks amazing on my daughter,2
works well to keep my hubs pants up he needs it,2
the color on the pendant turned silver after 1 week but the chain is a good gold color,1
